SUN FEB 24 2013	TAMPA BAY	PITTSBURGH
SUN FEB 24 2013	PHOENIX	CALGARY
SUN FEB 24 2013	COLORADO	ANAHEIM
MON FEB 25 2013	TORONTO	PHILADELPHIA
MON FEB 25 2013	MONTRÉAL	OTTAWA
MON FEB 25 2013	DALLAS	NASHVILLE
MON FEB 25 2013	EDMONTON	CHICAGO
MON FEB 25 2013	ANAHEIM	LOS ANGELES
TUE FEB 26 2013	WINNIPEG	NY RANGERS
TUE FEB 26 2013	CAROLINA	WASHINGTON
TUE FEB 26 2013	DALLAS	COLUMBUS
TUE FEB 26 2013	BOSTON	NY ISLANDERS
TUE FEB 26 2013	BUFFALO	TAMPA BAY
TUE FEB 26 2013	PITTSBURGH	FLORIDA
TUE FEB 26 2013	CALGARY	MINNESOTA
TUE FEB 26 2013	PHOENIX	VANCOUVER
TUE FEB 26 2013	COLORADO	SAN JOSE
WED FEB 27 2013	MONTRÉAL	TORONTO
WED FEB 27 2013	WASHINGTON	PHILADELPHIA
WED FEB 27 2013	NASHVILLE	ANAHEIM
WED FEB 27 2013	DETROIT	LOS ANGELES
THU FEB 28 2013	OTTAWA	BOSTON
THU FEB 28 2013	TORONTO	NY ISLANDERS
THU FEB 28 2013	TAMPA BAY	NY RANGERS
THU FEB 28 2013	PITTSBURGH	CAROLINA
THU FEB 28 2013	BUFFALO	FLORIDA
THU FEB 28 2013	NEW JERSEY	WINNIPEG
THU FEB 28 2013	CHICAGO	ST. LOUIS
THU FEB 28 2013	EDMONTON	DALLAS
THU FEB 28 2013	CALGARY	COLORADO
THU FEB 28 2013	MINNESOTA	PHOENIX
THU FEB 28 2013	DETROIT	SAN JOSE
FRI MAR 1 2013	EDMONTON	ST. LOUIS
FRI MAR 1 2013	COLUMBUS	CHICAGO
FRI MAR 1 2013	MINNESOTA	ANAHEIM
SAT MAR 2 2013	OTTAWA	PHILADELPHIA
SAT MAR 2 2013	TAMPA BAY	BOSTON
SAT MAR 2 2013	NEW JERSEY	BUFFALO
SAT MAR 2 2013	WASHINGTON	WINNIPEG
SAT MAR 2 2013	PITTSBURGH	MONTRÉAL
SAT MAR 2 2013	FLORIDA	CAROLINA
SAT MAR 2 2013	ANAHEIM	PHOENIX
SAT MAR 2 2013	LOS ANGELES	VANCOUVER
SAT MAR 2 2013	NASHVILLE	SAN JOSE
SUN MAR 3 2013	CHICAGO	DETROIT
SUN MAR 3 2013	OTTAWA	NY ISLANDERS
SUN MAR 3 2013	COLORADO	COLUMBUS
SUN MAR 3 2013	ST. LOUIS	DALLAS
SUN MAR 3 2013	CAROLINA	FLORIDA
SUN MAR 3 2013	MONTRÉAL	BOSTON
SUN MAR 3 2013	BUFFALO	NY RANGERS
SUN MAR 3 2013	EDMONTON	MINNESOTA
SUN MAR 3 2013	VANCOUVER	CALGARY
MON MAR 4 2013	NEW JERSEY	TORONTO
MON MAR 4 2013	TAMPA BAY	PITTSBURGH
MON MAR 4 2013	ANAHEIM	PHOENIX
MON MAR 4 2013	NASHVILLE	LOS ANGELES
TUE MAR 5 2013	TAMPA BAY	NEW JERSEY
TUE MAR 5 2013	MONTRÉAL	NY ISLANDERS
TUE MAR 5 2013	BOSTON	WASHINGTON
TUE MAR 5 2013	BUFFALO	CAROLINA
TUE MAR 5 2013	EDMONTON	COLUMBUS
TUE MAR 5 2013	PHILADELPHIA	NY RANGERS
TUE MAR 5 2013	WINNIPEG	FLORIDA
TUE MAR 5 2013	COLORADO	DETROIT
TUE MAR 5 2013	MINNESOTA	CHICAGO
TUE MAR 5 2013	SAN JOSE	VANCOUVER
TUE MAR 5 2013	ST. LOUIS	LOS ANGELES
WED MAR 6 2013	OTTAWA	TORONTO
WED MAR 6 2013	COLORADO	CHICAGO
WED MAR 6 2013	SAN JOSE	CALGARY
WED MAR 6 2013	PHOENIX	ANAHEIM
THU MAR 7 2013	TORONTO	BOSTON
THU MAR 7 2013	BUFFALO	NEW JERSEY
THU MAR 7 2013	NY RANGERS	NY ISLANDERS
THU MAR 7 2013	PITTSBURGH	PHILADELPHIA
THU MAR 7 2013	FLORIDA	WASHINGTON
THU MAR 7 2013	MONTRÉAL	CAROLINA
THU MAR 7 2013	VANCOUVER	COLUMBUS
THU MAR 7 2013	WINNIPEG	TAMPA BAY
THU MAR 7 2013	EDMONTON	DETROIT
THU MAR 7 2013	ST. LOUIS	PHOENIX
THU MAR 7 2013	DALLAS	LOS ANGELES
FRI MAR 8 2013	OTTAWA	NY RANGERS
FRI MAR 8 2013	WINNIPEG	FLORIDA
FRI MAR 8 2013	EDMONTON	NASHVILLE
FRI MAR 8 2013	CHICAGO	COLORADO
FRI MAR 8 2013	CALGARY	ANAHEIM
SAT MAR 9 2013	PHILADELPHIA	BOSTON
SAT MAR 9 2013	WASHINGTON	NY ISLANDERS
SAT MAR 9 2013	DETROIT	COLUMBUS
SAT MAR 9 2013	ST. LOUIS	SAN JOSE
SAT MAR 9 2013	PITTSBURGH	TORONTO
SAT MAR 9 2013	NEW JERSEY	CAROLINA
SAT MAR 9 2013	MONTRÉAL	TAMPA BAY
SAT MAR 9 2013	MINNESOTA	NASHVILLE
SAT MAR 9 2013	DALLAS	PHOENIX
SAT MAR 9 2013	CALGARY	LOS ANGELES
SUN MAR 10 2013	NY RANGERS	WASHINGTON
SUN MAR 10 2013	COLUMBUS	DETROIT
SUN MAR 10 2013	MONTRÉAL	FLORIDA
SUN MAR 10 2013	WINNIPEG	NEW JERSEY
SUN MAR 10 2013	NY ISLANDERS	PITTSBURGH
SUN MAR 10 2013	EDMONTON	CHICAGO
SUN MAR 10 2013	BUFFALO	PHILADELPHIA
SUN MAR 10 2013	VANCOUVER	MINNESOTA
SUN MAR 10 2013	SAN JOSE	COLORADO
SUN MAR 10 2013	ST. LOUIS	ANAHEIM
MON MAR 11 2013	BOSTON	OTTAWA
MON MAR 11 2013	CALGARY	LOS ANGELES
TUE MAR 12 2013	NY RANGERS	BUFFALO
TUE MAR 12 2013	CAROLINA	WASHINGTON
TUE MAR 12 2013	VANCOUVER	COLUMBUS
TUE MAR 12 2013	BOSTON	PITTSBURGH
TUE MAR 12 2013	TAMPA BAY	FLORIDA
TUE MAR 12 2013	TORONTO	WINNIPEG
TUE MAR 12 2013	SAN JOSE	ST. LOUIS
TUE MAR 12 2013	ANAHEIM	MINNESOTA
TUE MAR 12 2013	NASHVILLE	DALLAS
TUE MAR 12 2013	EDMONTON	COLORADO
TUE MAR 12 2013	LOS ANGELES	PHOENIX
WED MAR 13 2013	OTTAWA	MONTRÉAL
WED MAR 13 2013	PHILADELPHIA	NEW JERSEY
WED MAR 13 2013	DETROIT	CALGARY
THU MAR 14 2013	FLORIDA	BOSTON
THU MAR 14 2013	PITTSBURGH	TORONTO
THU MAR 14 2013	WASHINGTON	CAROLINA
THU MAR 14 2013	CHICAGO	COLUMBUS
THU MAR 14 2013	NY ISLANDERS	TAMPA BAY
THU MAR 14 2013	NY RANGERS	WINNIPEG
THU MAR 14 2013	PHOENIX	ST. LOUIS
THU MAR 14 2013	COLORADO	MINNESOTA
THU MAR 14 2013	ANAHEIM	DALLAS
THU MAR 14 2013	NASHVILLE	VANCOUVER
THU MAR 14 2013	LOS ANGELES	SAN JOSE
FRI MAR 15 2013	NEW JERSEY	PHILADELPHIA
FRI MAR 15 2013	NASHVILLE	CALGARY
FRI MAR 15 2013	DETROIT	EDMONTON
SAT MAR 16 2013	WASHINGTON	BOSTON
SAT MAR 16 2013	NY RANGERS	PITTSBURGH
SAT MAR 16 2013	OTTAWA	BUFFALO
SAT MAR 16 2013	MINNESOTA	COLORADO
SAT MAR 16 2013	WINNIPEG	TORONTO
SAT MAR 16 2013	MONTRÉAL	NEW JERSEY
SAT MAR 16 2013	CAROLINA	TAMPA BAY
SAT MAR 16 2013	PHOENIX	COLUMBUS
SAT MAR 16 2013	NY ISLANDERS	FLORIDA
SAT MAR 16 2013	ANAHEIM	ST. LOUIS
SAT MAR 16 2013	CHICAGO	DALLAS
SAT MAR 16 2013	DETROIT	VANCOUVER
SAT MAR 16 2013	SAN JOSE	LOS ANGELES
SUN MAR 17 2013	BOSTON	PITTSBURGH
SUN MAR 17 2013	WINNIPEG	OTTAWA
SUN MAR 17 2013	BUFFALO	WASHINGTON
SUN MAR 17 2013	NASHVILLE	EDMONTON
MON MAR 18 2013	CAROLINA	NY RANGERS
MON MAR 18 2013	PHILADELPHIA	TAMPA BAY
MON MAR 18 2013	CALGARY	DALLAS
MON MAR 18 2013	CHICAGO	COLORADO
MON MAR 18 2013	MINNESOTA	VANCOUVER
MON MAR 18 2013	SAN JOSE	ANAHEIM
MON MAR 18 2013	PHOENIX	LOS ANGELES
TUE MAR 19 2013	NY RANGERS	NEW JERSEY
TUE MAR 19 2013	OTTAWA	NY ISLANDERS
